sample_idx,char_idx,obj_idx,query_pair,is_unknown,state_idx,target_state,queried_character,queried_object,question
368,0,0,0,0,0,cocktail,James,can,What does James believe the can contains?
369,0,1,1,1,-1,unknown,Dan,jar,What does Dan believe the jar contains?
370,0,1,1,1,-1,unknown,Julia,tun,What does Julia believe the tun contains?
371,1,1,3,0,1,tea,Linda,tun,What does Linda believe the tun contains?
372,0,1,1,1,-1,unknown,Bill,vat,What does Bill believe the vat contains?
373,1,0,2,1,-1,unknown,Fred,tote,What does Fred believe the tote contains?
374,1,1,3,0,1,ale,Rob,drum,What does Rob believe the drum contains?
375,0,0,0,0,0,beer,Steve,glass,What does Steve believe the glass contains?
376,0,1,1,1,-1,unknown,Tina,urn,What does Tina believe the urn contains?
377,0,0,0,0,0,espresso,Josh,glass,What does Josh believe the glass contains?
378,1,1,3,0,1,monster,John,urn,What does John believe the urn contains?
379,1,0,2,1,-1,unknown,Ellen,urn,What does Ellen believe the urn contains?
380,0,0,0,0,0,stout,Alex,jar,What does Alex believe the jar contains?
381,1,1,3,0,1,bourbon,Mike,pitcher,What does Mike believe the pitcher contains?
382,1,1,3,0,1,stout,Julia,pitcher,What does Julia believe the pitcher contains?
383,1,1,3,0,1,port,Quinn,jug,What does Quinn believe the jug contains?
384,0,0,0,0,0,gin,Dean,jug,What does Dean believe the jug contains?
385,1,0,2,1,-1,unknown,Fred,pitcher,What does Fred believe the pitcher contains?
386,1,1,3,0,1,champagne,Ken,vat,What does Ken believe the vat contains?
387,0,1,1,1,-1,unknown,Heidi,container,What does Heidi believe the container contains?
388,0,1,1,1,-1,unknown,Rob,flute,What does Rob believe the flute contains?
389,1,0,2,1,-1,unknown,Tom,quart,What does Tom believe the quart contains?
390,0,0,0,0,0,sprite,Max,tun,What does Max believe the tun contains?
391,0,1,1,1,-1,unknown,Ray,pitcher,What does Ray believe the pitcher contains?
392,1,1,3,0,1,bourbon,Ray,jug,What does Ray believe the jug contains?
393,0,0,0,0,0,sprite,Dan,tun,What does Dan believe the tun contains?
394,0,1,1,1,-1,unknown,Steve,flask,What does Steve believe the flask contains?
395,0,0,0,0,0,sprite,Gary,urn,What does Gary believe the urn contains?
396,1,0,2,1,-1,unknown,Chad,tank,What does Chad believe the tank contains?
397,1,1,3,0,1,milk,Ivy,bottle,What does Ivy believe the bottle contains?
398,1,1,3,0,1,coffee,Bob,glass,What does Bob believe the glass contains?
399,1,1,3,0,1,milk,Rob,jug,What does Rob believe the jug contains?
